X(m) Y(m) X_Ratio Y_Ratio Z_Ratio
545421.999020 2334846.275880 9.732851 13.352084 28.995278
545114.545410 2334793.546140 9.665743 14.674868 31.938525
545229.777340 2334734.065430 9.369653 13.919419 30.090303
545294.148440 2334717.614010 9.097159 13.526271 29.194294
545175.737790 2334716.794920 9.108677 14.144916 30.542159
545231.254880 2334658.010010 8.935958 13.796052 29.317732
545232.044430 2334657.353520 9.074299 13.743495 29.312560
545306.405270 2334615.354980 8.698126 13.205411 28.125795
544859.776860 2334699.100590 9.517513 15.801517 34.063463
544780.872070 2334693.962650 9.221650 16.230717 35.007434
545501.318360 2334556.193120 8.378801 12.035602 25.369467
545181.445800 2334598.288330 9.029320 13.852215 29.445264
544741.076170 2334677.998780 9.238757 16.441361 35.342483
545119.653320 2334579.574460 8.617525 14.135230 30.014144
544729.772460 2334640.014890 9.539528 16.401425 35.163382
545037.481450 2334578.955810 8.779102 14.587557 30.983997
545666.675780 2334462.419680 7.933072 10.958120 22.648025
544726.939940 2334635.834230 9.601258 16.412228 35.167627
545678.900390 2334456.627440 8.239889 10.896923 22.451419
545097.433110 2334470.684570 8.468277 14.066837 29.354329
545356.340330 2334399.446780 8.064946 12.492126 25.653412
545362.327640 2334397.139890 7.841810 12.474965 25.565863
545506.129880 2334327.912110 7.560046 11.530560 23.280648
545600.896000 2334289.529540 7.799306 11.059968 21.875768
544981.692380 2334402.615480 8.804537 14.571090 30.214295
545021.967290 2334389.263430 8.532732 14.331582 29.593777
544927.352540 2334398.159670 8.230664 14.869525 30.826318
544844.543460 2334400.959470 9.019148 15.332767 31.814291
544841.541020 2334400.848140 8.989850 15.352032 31.821676
545004.464840 2334320.847410 8.355555 14.311196 29.260849
545005.254390 2334319.965580 8.018187 14.306136 29.258229
545081.693850 2334265.708010 8.574742 13.792474 27.880311
544833.044430 2334293.319580 8.751256 15.244223 31.157249
545071.682130 2334249.165040 7.927372 13.840864 27.888189
545405.527340 2334153.634030 7.896470 11.756564 23.002622
545409.208010 2334145.644530 7.806721 11.736717 22.886767
545216.237300 2334166.955570 7.317410 12.861503 25.407163
545216.628910 2334146.070310 7.273123 12.814834 25.240436
545447.967290 2334076.806640 7.556991 11.363897 21.858544
545378.153320 2334054.090090 7.187351 11.733923 22.535572
545362.031740 2334051.440670 7.773638 11.800322 22.695813
545383.698730 2334046.287110 7.566624 11.666619 22.402967
544829.743160 2334120.372560 7.890934 15.004230 29.967592
545112.424320 2334059.804200 7.314028 13.285069 25.871343
545430.173340 2333985.776610 6.595142 11.372232 21.356604
544976.126950 2334060.848390 7.525094 14.051160 27.625788
544740.744140 2334079.254390 8.034632 15.408157 30.841943
544999.767090 2334024.383060 7.987844 13.881606 27.045792
544708.271970 2334073.718020 8.726625 15.558828 31.275899
544889.526860 2334020.374760 8.449948 14.520984 28.473804
544896.032710 2334017.789310 8.738924 14.461199 28.363412
544915.731930 2333989.700200 7.773524 14.262277 27.880283
545196.981930 2333903.780520 7.178123 12.480957 23.626134
545107.083980 2333908.156010 7.142279 13.001844 24.823568
544951.267580 2333912.044190 8.050766 13.949075 26.898967
544682.299320 2333941.429690 8.703246 15.332413 30.731875
544672.161130 2333919.639650 8.253049 15.308735 30.741758
544676.764650 2333918.225830 8.575637 15.289887 30.677603
544666.771480 2333907.130370 8.882868 15.295828 30.721187
545118.576170 2334933.588130 9.992946 15.368359 33.165752
544813.399900 2334984.855960 10.283458 17.259911 36.966556
545084.708500 2334928.877200 10.162495 15.272951 33.489796
545272.880860 2334891.541260 9.886471 14.199159 31.052540
545345.597660 2334875.452880 9.806515 13.828886 30.093213
545684.094730 2334805.406010 9.764949 11.955345 25.722111
544820.739260 2334961.796140 10.058013 17.079311 36.682058
545311.245120 2334860.666260 9.698974 13.799107 30.337414
545021.703130 2334910.674070 10.160600 15.518248 34.052118
545625.977050 2334766.175050 9.477182 12.036779 25.968912
545171.006350 2334846.563480 9.677005 14.547869 31.763151
544788.431640 2334921.515870 10.191594 17.044891 36.711131
545478.646000 2334771.961670 9.407447 12.766725 27.641085
545554.790530 2334745.135500 9.404161 12.337158 26.553381
544860.846190 2334851.912840 9.737675 16.285039 35.347992
545093.387700 2334799.545170 9.429601 14.800851 32.236280
545310.474120 2334753.664060 9.403600 13.520693 29.347383
545024.417480 2334807.535160 9.544292 15.199007 33.086560
545503.022950 2334692.477050 9.168664 12.358067 26.606143
545046.250980 2334776.335450 9.381480 14.986174 32.573184
545438.365720 2334697.756590 8.982772 12.714641 27.390719
545414.816890 2334680.851560 8.901722 12.780945 27.497611
545499.760740 2334652.714360 8.915744 12.300020 26.268331
545405.130370 2334668.928220 8.893575 12.788629 27.494688
545675.378910 2334604.653560 8.655784 11.375315 23.875535
545376.516600 2334657.232910 9.086862 12.915502 27.723590
545343.113280 2334660.715580 8.829719 13.122791 28.141414
545140.767580 2334687.949460 9.217884 14.279965 30.701418
545355.300290 2334643.884030 8.903104 13.037997 27.835822
545154.673830 2334660.228270 8.913908 14.119609 30.298595
545246.216310 2334641.470950 9.098135 13.588183 29.072375
544986.688480 2334688.753420 9.461281 15.118458 32.519919
544799.146970 2334721.613770 9.475741 16.204102 34.993699
545239.249510 2334637.723630 8.781908 13.615329 29.118075
544880.078130 2334705.775630 9.238658 15.702885 33.880829
545084.737790 2334636.195560 8.848064 14.441844 30.925549
