X(m) Y(m) X_Ratio Y_Ratio Z_Ratio
556589.755370 2328817.020080 1.625226 1.401210 2.255486
557056.794430 2328685.081850 2.030264 1.687446 8.254930
555973.100590 2329028.529540 0.990044 1.338051 9.579361
557272.239620 2328637.961300 2.029858 1.994258 13.809003
556800.933590 2328800.745480 1.185385 1.546171 2.996332
557202.492680 2328696.280640 1.746174 1.918952 12.433894
557192.495240 2328699.878050 1.522376 1.900369 12.180356
556784.331050 2328996.526920 1.356233 1.595305 5.327256
556194.095460 2329192.816040 0.861054 1.498116 3.697548
556121.466610 2329239.022710 0.780449 1.458016 3.840724
556367.207030 2329217.490720 1.434070 1.936347 1.732611
556787.020260 2329085.700070 1.341979 1.625348 6.895704
556269.668330 2329258.788940 1.244558 1.459357 1.963754
556171.636600 2329357.736080 1.199689 1.679206 1.964161
556783.987790 2329162.089360 2.041393 1.677307 8.214230
557349.480710 2328978.139470 2.346474 2.129706 20.794839
557115.892460 2329106.464720 2.158486 1.891427 16.015807
556242.511540 2329423.687260 1.274670 1.410213 3.306729
556191.938170 2329556.440430 0.891302 1.626123 5.469794
556873.781130 2329361.284670 1.097717 1.634222 14.217038
557496.796140 2329166.340820 2.176504 2.203089 28.817506
557300.036740 2329338.375730 2.219826 1.786741 26.200851
557226.123780 2329364.902950 1.313995 1.683347 24.616581
557534.051510 2329260.678100 2.238444 2.236614 31.927166
557248.509030 2329359.303470 2.061831 1.949290 25.117588
557528.622070 2329280.415160 2.253104 2.130403 32.239620
556064.320860 2329029.661680 0.930605 1.685662 8.413628
556341.586790 2328952.810060 1.321159 1.426907 5.193212
556314.751220 2328964.070130 0.861697 1.768793 5.504520
556802.610110 2328813.360960 1.876148 1.476976 3.023845
555992.768070 2329085.483950 0.767818 1.210021 8.375528
556356.482300 2328982.147030 0.880624 1.703622 4.496349
556962.144290 2328791.620420 2.031408 1.677210 6.932711
557093.672610 2328752.668950 2.076773 1.755969 9.997528
556633.901730 2328903.619020 1.206080 1.513408 1.236754
556364.625850 2328987.778990 0.839477 1.384004 4.261075
556915.775150 2328819.128230 1.772987 1.612904 6.066549
556845.334840 2328842.854250 1.799270 1.703218 4.573737
556021.809200 2329101.898010 0.943802 1.849395 7.729061
