X(m) Y(m) X_Ratio Y_Ratio Z_Ratio
543657.378910 2332019.892580 3.054333 3.216172 8.655840
543587.726070 2331845.733030 2.273889 3.543438 8.244834
543268.216550 2331015.442780 3.859297 3.705572 8.929907
543603.308350 2331887.349980 2.280693 3.430010 8.342299
543585.575440 2331844.826420 2.232951 3.328558 8.269479
543543.583500 2331739.536250 3.288201 3.419877 8.108979
543356.975100 2331260.350460 3.582805 3.668367 8.319435
543300.000240 2331112.640380 4.429343 3.688434 8.699090
543256.279300 2330995.879120 4.269266 3.714315 9.078605
543410.797850 2331405.230350 4.003260 3.630391 8.135019
543333.260010 2331202.523250 3.150110 3.717880 8.459492
543831.209960 2332468.492800 2.550579 2.605558 10.792669
543779.216060 2332341.473750 2.381207 3.474638 10.073607
543664.379640 2332056.883420 2.907995 3.509914 8.883880
543399.780270 2331386.650450 4.230918 3.661169 8.220721
543625.962160 2331971.926640 2.604361 3.318256 8.703683
543541.058840 2331765.672610 2.485030 3.560392 8.336691
543408.999020 2331454.949650 4.265052 3.683488 8.423323
543822.460940 2332500.591920 2.612972 3.191104 11.281860
543260.474370 2331081.663910 4.194016 3.802541 9.240744
543762.837160 2332370.927860 2.459656 2.650889 10.654890
543644.906490 2332077.248410 4.075322 3.247978 9.359673
543436.082280 2331555.858700 3.258813 3.669456 8.580912
543308.306400 2331236.872740 3.797199 3.783841 9.003291
543504.165280 2331757.443360 4.290059 3.612417 8.851658
543690.770750 2332274.928590 3.191365 2.958878 10.612147
543229.226320 2331095.950620 4.062515 3.899425 9.783100
543274.039310 2331229.598080 4.843462 3.849905 9.552728
543583.934330 2332043.427610 2.397100 3.349082 9.956556
543713.452150 2332379.714480 2.553320 2.907702 11.447598
543744.238280 2332482.414670 3.647025 3.602853 12.154183
543588.603520 2332103.279420 2.548376 3.295482 10.426806
543155.346920 2331016.786870 4.520130 3.953924 10.810323
543739.116210 2332510.768550 4.329401 2.906080 12.553230
543628.405030 2332234.827640 3.964714 3.521769 11.112551
543589.205320 2332138.935910 2.613720 3.385748 10.756594
543149.451170 2331022.124240 3.373305 3.965712 10.926714
543352.852540 2331567.934270 3.143702 3.855773 9.992314
543277.072510 2331419.553650 2.968677 3.946024 10.391217
543121.180420 2331019.838320 4.690826 4.007815 11.411016
543595.278810 2332264.008300 3.916574 3.763208 11.900386
543520.090580 2332073.392460 2.703038 3.586041 11.198952
543631.607180 2332364.776120 3.359383 3.111933 12.426572
543477.222410 2331973.967900 2.452520 3.564050 10.969244
543273.177250 2331470.434200 4.098387 3.981781 10.728816
543513.050780 2332101.330200 2.705038 3.568462 11.554689
543213.552000 2331361.886600 4.313605 4.037641 11.159764
543089.573490 2331050.630740 3.564657 4.108786 12.001823
543135.407960 2331188.327820 4.490886 4.101379 11.700768
543094.730220 2331097.415770 4.473237 4.084685 12.112923
543633.094970 2332476.910280 2.793797 3.819358 13.680357
543488.256590 2332118.794560 2.870789 3.860838 12.107097
543082.143800 2331108.049680 3.340087 4.112897 12.384484
543408.422120 2331947.613400 3.614218 3.828454 11.836336
543455.311770 2332071.768680 2.892357 3.698099 12.186135
543225.508300 2331503.656740 3.094171 4.098231 11.721730
543133.837400 2331268.733280 4.083602 4.124376 12.090701
543249.102050 2331569.167720 3.412571 4.087952 11.712743
543399.522220 2331960.579470 3.147955 3.851387 12.081124
543321.859620 2331786.160640 3.712620 4.019920 11.987058
543185.627690 2331448.954900 4.220291 4.144322 12.086141
543403.730960 2332079.546630 3.066653 3.947388 13.068239
543144.428710 2331422.368100 4.239540 4.223918 12.624521
543138.906740 2331422.422610 4.323097 4.240810 12.718364
543497.833740 2332356.216060 3.191012 3.528704 14.330878
