1.Error_(m) 2.X_error 3.Y_error 4.Z_error 5.Error_(deg) 6.Yaw_error 7.Pitch_error 8.Roll_error
0.414263 -0.280127 0.162564 -0.089162 7.113727 -7.072044 -0.508566 0.071233
0.759502 -0.241465 0.112814 -0.702242 7.137873 -7.104756 -0.409047 0.103693
0.681952 -0.269904 0.067327 -0.581320 6.916074 -6.875296 -0.552103 0.079363
1.110138 -0.180664 -0.432614 -0.865845 6.847030 -6.824028 -0.293696 0.057227
1.207826 -0.353586 -0.693033 -0.539927 6.889901 -6.861116 -0.423560 0.096334
1.365927 -0.223093 -0.930478 -0.521410 6.982149 -6.942648 -0.575977 0.099332
1.487778 -0.406468 -1.007198 -0.452081 7.149140 -7.130419 -0.193805 0.149971
1.636655 -0.684211 -1.047815 -0.312151 7.143462 -7.107322 -0.523350 0.118430
1.945395 -0.583501 -1.423539 -0.691867 7.034664 -7.004737 -0.425726 0.090560
1.897603 -0.698735 -1.374896 -0.309274 7.273766 -7.251291 -0.264901 0.126589
2.078346 -0.780206 -1.571846 -0.212017 7.431990 -7.402609 -0.379436 0.107442
2.366020 -0.720992 -1.944946 0.160407 7.546180 -7.515104 -0.388542 0.095163
2.480432 -1.087949 -1.875470 0.505430 7.552485 -7.520370 -0.338298 0.129550
2.818326 -1.191957 -2.101826 1.049822 7.645910 -7.609810 -0.351441 0.130734
3.102242 -1.289880 -2.232208 1.496421 7.680655 -7.640805 -0.363217 0.114224
3.522059 -1.228001 -2.512101 1.936150 7.769880 -7.732106 -0.280405 0.063374
