1.Error_(m) 2.X_error 3.Y_error 4.Z_error 5.Error_(deg) 6.Yaw_error 7.Pitch_error 8.Roll_error
1.587163 1.329519 -0.612648 0.526840 5.244001 -4.996021 -0.011855 1.576814
1.191043 0.813707 -0.259341 0.816065 4.668280 -4.609666 -0.514257 0.490535
0.557972 0.455858 -0.262426 0.153460 4.563240 -4.512901 -0.644168 0.117994
0.544911 0.486487 -0.069506 0.203527 4.582662 -4.555001 -0.440807 -0.182632
0.616026 -0.006926 -0.213795 0.562949 4.787246 -4.753071 -0.543740 -0.064642
0.675574 0.055787 0.061456 0.636990 4.957512 -4.926897 -0.505752 -0.174194
0.214654 -0.103101 0.062967 0.128998 4.933164 -4.914337 -0.378122 -0.159002
0.808794 -0.418682 -0.330248 0.535596 4.787180 -4.781614 -0.154483 -0.132140
0.584796 -0.457378 -0.247141 0.151269 4.665378 -4.640788 -0.455394 -0.090039
0.976751 -0.701392 -0.260090 0.547703 4.713276 -4.701586 -0.225285 -0.212374
1.295777 -1.165242 -0.319234 0.403122 5.030957 -5.006720 -0.473887 -0.007593
1.498082 -1.301991 -0.114968 0.613885 5.124289 -5.106997 -0.381682 -0.122918
1.193041 -1.078889 0.155974 0.391013 5.270859 -5.253918 -0.381223 -0.113625
1.374413 -1.263760 -0.287142 0.263763 5.247287 -5.229285 -0.405697 -0.027240
1.824814 -1.733623 -0.060291 0.521351 5.227228 -5.209485 -0.395642 0.039646
2.354855 -2.177320 -0.007001 0.838970 5.225431 -5.206370 -0.404781 -0.002637
2.311198 -2.087827 0.260991 0.887262 5.243176 -5.225862 -0.370507 -0.015770
2.528074 -2.278678 0.268041 0.953382 5.093403 -5.077170 -0.333876 0.038537
2.540004 -2.290185 -0.106936 0.920626 4.633182 -4.611436 -0.295317 -0.253680
2.918394 -2.612313 0.367623 1.117148 4.670240 -4.653523 -0.280903 -0.161984
2.640739 -2.416164 0.667700 0.740015 6.740594 6.689582 -0.765950 -0.197616
2.152370 -2.004871 0.476575 0.501106 5.251518 5.229185 -0.427105 0.059784
1.888625 -1.800760 0.366406 0.372586 5.083400 5.064017 -0.362712 0.157704
1.904019 -1.842992 0.264211 0.388416 5.455828 5.437158 -0.389924 -0.123015
1.635824 -1.626522 0.027783 0.122489 4.900032 4.877823 -0.408210 -0.172233
1.389572 -1.369813 -0.029874 0.060486 5.232712 5.214663 -0.407441 -0.107244
1.114780 -1.070863 0.088070 -0.213818 4.827098 4.804945 -0.429437 -0.133953
1.067704 -1.000448 0.108374 -0.336730 4.973121 4.952950 -0.423486 0.072414
0.790705 -0.751605 -0.109046 -0.083930 5.208228 5.192864 -0.375065 -0.065909
0.837551 -0.719590 -0.046298 -0.419459 5.462220 5.449310 -0.360638 -0.070110
0.802978 -0.583439 -0.114595 -0.532462 5.246033 5.239177 -0.212671 -0.127367
0.391323 -0.094584 -0.296038 -0.228594 5.720030 5.699291 -0.440563 0.159634
0.432802 -0.128830 -0.074484 -0.405191 5.477621 5.463209 -0.373353 -0.038418
0.626312 0.102607 -0.175456 -0.578232 5.382792 5.365047 -0.396085 -0.071541
0.502165 0.313184 0.067746 -0.360683 5.401374 5.379352 -0.450259 0.106610
0.749437 0.706457 -0.056188 -0.155857 5.199361 5.180453 -0.393286 -0.119170
0.837946 0.595709 -0.193214 -0.490585 5.418380 5.386010 -0.467133 0.293240
1.097865 1.016832 -0.335742 0.055682 4.673904 4.657825 -0.330346 -0.054983
0.989456 0.818469 -0.416934 -0.196419 6.281818 6.264502 -0.344265 -0.205149
1.172772 0.999262 -0.015730 -0.399967 4.827262 4.794126 -0.380856 -0.348887
3.479840 3.478065 -0.045709 0.033925 9.773440 9.452962 0.747569 -2.347539
2.961854 2.893086 -0.140932 -0.252987 1.329339 0.648891 -0.102394 -1.151424
3.234155 3.109632 -0.450264 -0.585529 3.012868 -2.985574 -0.280415 -0.267322
1.932682 1.888246 -0.122796 -0.228805 4.394950 -4.332135 -0.708933 0.157567
2.414108 2.375062 0.062279 -0.224156 4.626960 -4.583005 -0.597484 0.157363
2.211030 2.197577 0.053790 -0.157477 4.949265 -4.910467 -0.570990 0.183511
1.875666 1.737240 -0.573797 -0.391129 5.344335 -5.296954 -0.688626 0.103458
2.058677 2.021739 -0.029020 -0.279822 4.891461 -4.872356 -0.400944 0.063255
1.731381 1.610989 -0.500545 -0.366024 4.440932 -4.402668 -0.564651 0.049408
1.916550 1.752995 0.165354 -0.695208 4.437365 -4.417489 -0.385789 -0.123739
1.517393 1.447108 0.228127 -0.340284 4.162561 -4.152027 -0.230231 -0.148999
1.223611 0.904449 -0.013439 -0.786893 4.752671 -4.726601 -0.452632 -0.185026
1.496037 1.222960 0.343972 -0.747950 4.871517 -4.867856 -0.150642 -0.053746
1.290349 0.846140 0.127819 -0.939332 4.995322 -4.974638 -0.383245 -0.206214
0.719850 -0.366402 0.219171 -0.577635 5.166966 -5.146928 -0.397784 0.162856
0.867388 0.473233 0.518392 -0.499973 4.348981 -4.332064 -0.350003 -0.029139
0.747774 0.311306 0.484177 -0.462137 4.113518 -4.088849 -0.413700 -0.041485
0.793702 -0.090701 0.428388 -0.629569 4.168996 -4.138952 -0.459357 -0.043800
0.745938 -0.090516 0.670716 -0.244397 4.177146 -4.160131 -0.302702 -0.095308
0.872452 -0.329658 0.346994 -0.637396 4.204030 -4.190399 -0.264580 -0.020993
