1.Error_(m) 2.X_error 3.Y_error 4.Z_error 5.Error_(deg) 6.Yaw_error 7.Pitch_error 8.Roll_error
8.451145 -7.978357 1.479313 -1.892871 13.639525 13.296168 -0.097294 -2.980298
7.027564 -5.374724 4.041052 -1.796161 10.949530 -10.936876 0.080893 0.256254
5.779296 -4.586387 3.211257 -1.037037 13.529184 -13.507819 -0.029136 0.598178
4.902915 -3.741372 2.796934 -1.303995 13.427649 -13.405788 -0.123642 0.604430
4.152237 -3.347008 2.129224 -1.091341 13.380166 -13.361886 -0.143955 0.504375
3.149005 -2.353672 1.958767 -0.499095 13.206966 -13.189358 -0.118036 0.488259
1.615728 -0.595384 1.360376 0.229571 13.235143 -13.224961 -0.110401 0.314190
2.157270 -1.784223 1.138891 -0.239036 13.149981 -13.137988 -0.170481 0.344927
1.430647 -1.148392 0.812370 -0.136043 13.105123 -13.091863 -0.144062 0.408199
2.399160 -2.188781 0.970289 -0.078108 12.999135 -12.986705 -0.111133 0.369354
0.657757 -0.541118 0.321694 0.165839 12.744682 -12.731852 -0.117662 0.414412
1.615898 1.446106 0.009371 -0.588553 12.649920 -12.637285 -0.219295 0.369704
1.037064 0.781890 -0.533261 -0.060382 12.650418 -12.635788 -0.231966 0.429936
1.125262 1.019843 0.092988 0.383307 12.797363 -12.786452 -0.194114 0.363377
1.708150 1.593965 -0.398096 0.202810 12.674539 -12.662972 -0.146485 0.431822
1.819704 1.694139 -0.284842 0.475021 12.780621 -12.770451 -0.133799 0.412741
2.101690 1.867608 -0.714272 0.463107 12.870500 -12.860350 -0.137469 0.431733
2.388956 1.919098 -1.103527 0.802414 13.003578 -12.992765 -0.158532 0.452037
3.207383 2.832503 -1.282543 0.593278 13.089616 -13.079671 -0.125143 0.422946
3.026282 2.655992 -1.242731 0.551170 13.115302 -13.103889 -0.210544 0.422204
4.167355 3.694498 -1.637483 0.882517 13.057244 -13.046166 -0.199368 0.389051
4.129950 3.530522 -1.722287 1.173431 13.043268 -13.034311 -0.160754 0.357251
3.869754 3.350049 -1.463289 1.187159 12.971959 -12.961775 -0.188240 0.364114
4.006903 3.545511 -1.524650 0.957435 13.071661 -13.061759 -0.223150 0.318602
3.974845 3.531502 -1.524522 0.837318 12.910985 -12.900846 -0.168355 0.368933
3.861199 3.456669 -1.457262 0.739979 13.024878 -13.011410 -0.206566 0.435903
3.890135 2.947464 -2.289484 1.009698 13.075384 -13.064086 -0.241193 0.340023
3.920298 3.368572 -1.821222 0.607852 13.197920 -13.186723 -0.167406 0.392657
3.836682 3.208472 -1.912365 0.709255 13.111403 -13.097448 -0.259227 0.404728
2.408946 1.872334 -1.264924 0.766886 13.072816 -13.058634 -0.234617 0.425015
3.321126 2.707919 -1.786393 0.583468 13.166755 -13.152528 -0.199047 0.390162
3.158583 2.579962 -1.686247 0.609429 13.096694 -13.081478 -0.228480 0.353154
2.926158 2.406066 -1.527989 0.598712 13.120125 -13.106667 -0.218353 0.316092
3.100727 2.593611 -1.590748 0.501849 13.253733 -13.240955 -0.118447 0.355619
2.807231 2.317200 -1.386694 0.745796 13.315830 -13.301165 -0.213768 0.347050
2.795779 2.377147 -1.421639 0.282035 13.314876 -13.293655 -0.327863 0.468431
2.327041 2.151268 -0.850947 0.000932 13.370795 -13.348458 -0.329717 0.477670
1.661702 1.478554 -0.736189 0.126868 13.258117 -13.240768 -0.243694 0.402857
1.527801 1.308116 -0.782593 0.057936 13.122628 -13.105401 -0.229447 0.392007
1.708673 1.423129 -0.927289 -0.163408 12.971291 -12.951870 -0.240665 0.455176
0.787335 0.760427 -0.184417 -0.074248 12.891927 -12.873509 -0.278524 0.384485
0.238257 -0.110199 -0.173316 0.016873 12.820026 -12.803820 -0.225280 0.355171
0.849463 -0.751119 0.148203 -0.354259 12.645557 -12.629349 -0.163440 0.376532
1.234174 -1.082183 0.304590 -0.452690 12.742370 -12.722407 -0.227741 0.419178
1.402758 -1.269242 0.200210 -0.488573 12.669519 -12.650192 -0.203592 0.396926
2.427003 -2.044145 1.138045 -0.534875 12.705591 -12.685693 -0.266997 0.397772
2.488901 -2.229601 0.884144 -0.504124 12.668498 -12.644729 -0.328344 0.452205
3.804769 -3.517883 1.255788 -0.423215 12.422300 -12.402045 -0.242570 0.421268
4.062500 -3.681882 1.485948 -0.638760 12.328461 -12.309079 -0.222523 0.407305
4.823899 -4.375609 1.825991 -0.582816 12.412689 -12.393590 -0.296383 0.361146
5.304600 -4.736327 2.103312 -0.978679 12.447057 -12.430361 -0.261055 0.341526
6.828311 -6.156539 2.657129 -1.104988 12.302976 -12.285882 -0.331242 0.298741
7.556664 -6.826134 2.905420 -1.238700 12.301842 -12.280507 -0.275208 0.456966
